Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
9,103,-0.155087201,Collin Sexton,Out for season - left knee (0g) - 7/10/2022,CLE,PG/SG,60,35.25361111,24.33333333,1.633333333,3.116666667,4.366666667,1.05,0.166666667,0.475113122,18.41666667,0.81462141,6.383333333,2.783333333,1.335212467,-0.100093812,-1.105666841,0.330126317,0.154330799,-0.987821159,-0.159412625,0.225263674,-1.087723626
9,104,-0.168115964,Jusuf Nurkic,Injured - left foot plantar fasciitis (0g) - 4/1/2022,POR,C,37,23.78693694,11.45945946,0.324324324,8.972972973,3.378378378,1.027027027,1.081081081,0.513513514,9,0.619469027,3.054054054,1.972972973,-0.794611239,-1.344388947,1.251351239,-0.105284903,0.088380382,0.779708549,0.449763356,-1.666611745,-0.171350369
9,105,-0.170754534,Jordan Clarkson,,UTA,PG/SG,68,26.72916667,18.39705882,3.058823529,4.014705882,2.470588235,0.897058824,0.147058824,0.425116279,15.80882353,0.895833333,2.117647059,1.691176471,0.35312904,1.254923996,-0.744228323,-0.505230969,-0.284730111,-1.025722404,-1.313429066,0.581185741,0.147311292
9,106,-0.175910388,Jeremy Lamb,,IND,SG/SF,36,21.25740741,10.08333333,1.444444444,3.611111111,1.472222222,0.944444444,0.666666667,0.434782609,7.666666667,0.946666667,2.083333333,0.611111111,-1.02227434,-0.279644543,-0.906665212,-0.945082143,-0.148696282,-0.021339397,-0.51448167,0.886317222,1.368672873
9,107,-0.176982643,Thaddeus Young,,CHI,PF/C,68,24.29779412,12.10294118,0.176470588,6.191176471,4.279411765,1.088235294,0.588235294,0.558069382,9.75,0.628318584,1.661764706,2,-0.688155122,-1.484933194,0.131747122,0.291684332,0.264096027,-0.172944379,1.133801356,-0.866226808,-0.201913124
9,108,-0.177540401,Nicolas Batum,,LAC,SF/PF,67,27.38432836,8.059701493,1.641791045,4.71641791,2.208955224,1.029850746,0.552238806,0.463592233,6.149253731,0.827586207,0.865671642,0.791044776,-1.357059278,-0.092054227,-0.461806631,-0.620498903,0.096486667,-0.242524278,-0.143647196,0.058040295,1.165199941
10,109,-0.179979259,Brandon Clarke,,MEM,SF/PF,59,23.9799435,10.33898305,0.338983051,5.559322034,1.610169492,1.033898305,0.847457627,0.518218623,8.372881356,0.690265487,1.915254237,0.559322034,-0.979980246,-1.330454909,-0.122558621,-0.884306568,0.108106329,0.328122935,0.478834885,-0.644814236,1.427237096
10,110,-0.185694739,Joe Ingles,Out for season - torn left acl (0g) - 7/10/2022,UTA,SG/SF,67,27.85870647,12.07462687,2.731343284,3.641791045,4.76119403,0.671641791,0.179104478,0.489323843,8.388059701,0.844444444,1.343283582,1.746268657,-0.692839376,0.94363349,-0.894317299,0.503943656,-0.931853468,-0.963779324,0.117863929,0.161083904,0.08501184
10,111,-0.185949687,Bobby Portis,,MIL,PF/C,66,20.79217172,11.42424242,1.121212121,7.075757576,1.075757576,0.787878788,0.409090909,0.522537563,9.075757576,0.739726027,1.106060606,0.848484848,-0.800437463,-0.586897133,0.487769084,-1.119752993,-0.598162288,-0.519223941,0.575611063,-0.212698958,1.100245448
10,112,-0.186873391,D'Angelo Russell,,MIN,PG/SG,42,28.48253968,18.95238095,2.857142857,2.642857143,5.833333333,1.047619048,0.428571429,0.430981595,15.52380952,0.765100671,3.547619048,2.69047619,0.445000239,1.063213872,-1.296363426,0.976297206,0.147495602,-0.481568807,-1.153417423,-0.399799049,-0.982718734
10,113,-0.19268428,Andre Drummond,Probable - left knee,LAL,C,46,26.9923913,14.93478261,0,12,2.043478261,1.369565217,1.065217391,0.492146597,12.45652174,0.6,4.456521739,2.695652174,-0.219661872,-1.652679552,2.469654562,-0.693403264,1.071733153,0.749044616,0.216353838,-2.686628153,-0.988571849
10,114,-0.199144409,Dorian Finney-Smith,,DAL,SF/PF,60,32.00861111,9.833333333,1.983333333,5.433333333,1.7,0.866666667,0.4,0.472103004,7.766666667,0.756097561,0.683333333,0.8,-1.063633757,0.232603133,-0.17326595,-0.844729846,-0.371979395,-0.536796337,-0.088814094,-0.100756613,1.155073177
10,115,-0.202711353,Kevin Huerter,,ATL,SG/SF,69,30.81086957,11.91304348,2.028985507,3.347826087,3.492753623,1.188405797,0.260869565,0.432284542,10.5942029,0.78125,0.927536232,1.144927536,-0.719571355,0.275998387,-1.012630906,-0.05489448,0.551663791,-0.805730392,-0.759233118,-0.065025667,0.765021559
10,116,-0.213064093,Jae'Sean Tate,Questionable - ankle soreness,HOU,SG/SF/PF,70,29.18166667,11.34285714,0.857142857,5.342857143,2.542857143,1.214285714,0.514285714,0.504792332,8.942857143,0.693877551,2.1,1.414285714,-0.813901654,-0.837911525,-0.209680373,-0.47339138,0.625959415,-0.31588622,0.330631623,-0.683822152,0.460425428
10,117,-0.214936048,Justin Holiday,,IND,SG/SF,72,30.32430556,10.5,2.402777778,3.555555556,1.666666667,1.027777778,0.569444444,0.413461538,8.666666667,0.788235294,1.180555556,0.75,-0.953341977,0.631311376,-0.929024945,-0.859415548,0.090535624,-0.209266406,-0.860422975,-0.056413855,1.211614273
10,118,-0.215331266,LaMarcus Aldridge,,FA,PF/C,26,25.93974359,13.53846154,1.192307692,4.538461538,1.884615385,0.423076923,1.115384615,0.472972973,11.38461538,0.872340426,1.807692308,1.038461538,-0.450665978,-0.519316335,-0.533429658,-0.76339365,-1.645429235,0.84601603,-0.126124874,0.368946668,0.885415643
10,119,-0.221061582,Anthony Edwards,Questionable - left patella tendinopathy,MIN,SG/SF,72,32.1412037,19.33333333,2.375,4.666666667,2.930555556,1.138888889,0.486111111,0.417700579,16.79166667,0.775735294,3.777777778,2.236111111,0.508024114,0.604906856,-0.481830273,-0.302582679,0.409511499,-0.3703467,-1.58239577,-0.305928541,-0.468912743
10,120,-0.224372984,Devonte' Graham,,CHA,PG/SG,55,30.1569697,14.78181818,3.236363636,2.690909091,5.363636364,0.872727273,0.109090909,0.375748503,12.14545455,0.841772152,2.872727273,1.527272727,-0.244967951,1.423686999,-1.277023708,0.769362314,-0.354580711,-1.099112998,-1.898773231,0.329395196,0.332657237
11,121,-0.226236098,Kelly Oubre,,GSW,SG/SF/PF,55,30.68151515,15.43636364,1.636363636,5.981818182,1.327272727,1.072727273,0.763636364,0.439226519,13.16363636,0.694915254,3.218181818,1.272727273,-0.136681475,-0.097213319,0.047485602,-1.008942696,0.219575864,0.16609949,-0.812545187,-1.03440598,0.620502816
11,122,-0.229046189,Ricky Rubio,Out for season - torn left acl (0g) - 7/10/2022,MIN,PG,68,26.05196078,8.558823529,0.970588235,3.279411765,6.352941176,1.455882353,0.058823529,0.387550201,7.323529412,0.866666667,2.205882353,1.602941176,-1.27448569,-0.73007458,-1.040165974,1.205221385,1.319530908,-1.196278009,-1.006775565,0.41452213,0.247089696
11,123,-0.22927296,Darius Garland,,CLE,PG,54,33.14660494,17.42592593,1.944444444,2.388888889,6.092592593,1.222222222,0.111111111,0.451371571,14.85185185,0.848484848,2.444444444,3.037037037,0.192467075,0.195636806,-1.398579351,1.090519333,0.648743406,-1.095208021,-0.650449625,0.328031069,-1.374617335
11,124,-0.230898733,Derrick Rose,Injured - right ankle (0g) - 3/16/2022,NYK,PG/SG,50,25.57766667,14.68,1,2.6,4.18,0.98,0.38,0.469721768,12.22,0.866141732,2.54,1.56,-0.261812514,-0.702116854,-1.313612363,0.247886386,-0.046624002,-0.575455607,-0.196374998,0.474372832,0.29564852
11,125,-0.235924669,Serge Ibaka,,LAC,PF/C,41,23.28699187,11.07317073,0.951219512,6.707317073,1.804878049,0.219512195,1.146341463,0.509589041,8.902439024,0.811320755,1.292682927,1.073170732,-0.858517946,-0.748485766,0.339480917,-0.798523612,-2.22981937,0.905854488,0.392984959,0.027538582,0.846165727
11,126,-0.247688262,Donte DiVincenzo,,MIL,PG/SG,66,27.49166667,10.42424242,1.984848485,5.757575758,3.075757576,1.090909091,0.227272727,0.419568823,9.136363636,0.718309859,1.075757576,1.393939394,-0.965875134,0.234043379,-0.042766413,-0.238610871,0.271771917,-0.870671854,-0.825009333,-0.275509539,0.483433493
11,127,-0.249001528,Danilo Gallinari,,ATL,SF/PF,51,23.95947712,13.25490196,2.019607843,4.196078431,1.490196078,0.588235294,0.196078431,0.433684211,9.31372549,0.925287356,3.411764706,0.843137255,-0.497577414,0.267084329,-0.67123037,-0.937163382,-1.171295412,-0.93096929,-0.645225976,1.23907114,1.106292624
11,128,-0.250342922,Trevor Ariza,,MIA,SG/SF,30,28.03166667,9.4,1.666666667,4.8,1.833333333,1,0.6,0.410788382,8.033333333,0.772727273,1.466666667,0.7,-1.135323415,-0.068408388,-0.428166913,-0.785987038,0.010791655,-0.150203632,-0.827919399,-0.136024538,1.268155369
11,129,-0.256176278,Terrence Ross,,ORL,SG/SF,46,29.27282609,15.58695652,1.934782609,3.456521739,2.369565217,1.02173913,0.456521739,0.412337662,13.39130435,0.869565217,3,1.586956522,-0.111767739,0.186452625,-0.968883601,-0.549738787,0.073199979,-0.427541877,-1.364497839,0.592025246,0.265165494
11,130,-0.256252403,Royce O'Neale,,UTA,SF/PF,71,31.557277,6.985915493,1.507042254,6.830985915,2.535211268,0.802816901,0.450704225,0.444162437,5.549295775,0.847826087,0.647887324,1.169014085,-1.534703932,-0.220141401,0.38925456,-0.476759931,-0.555278208,-0.438786919,-0.288336058,0.080696301,0.737783963
11,131,-0.258597814,Duncan Robinson,,MIA,SG/SF,72,31.41226852,13.08333333,3.472222222,3.472222222,1.763888889,0.597222222,0.277777778,0.439330544,9.958333333,0.826666667,1.041666667,1.125,-0.525961328,1.647885373,-0.962564546,-0.81658225,-1.145495892,-0.773047434,-0.607541639,0.06837134,0.787556054
11,132,-0.260057253,Montrezl Harrell,,LAL,PF/C,69,22.90386473,13.49275362,0,6.173913043,1.057971014,0.666666667,0.710144928,0.621890547,8.739130435,0.70703125,3.710144928,1.057971014,-0.458227789,-1.652679552,0.124799021,-1.127589237,-0.94613597,0.062702495,1.851200043,-1.057938191,0.8633539
12,133,-0.262953179,Matisse Thybulle,,PHI,SG/SF,65,19.96615385,3.923076923,0.661538462,1.907692308,0.969230769,1.615384615,1.092307692,0.419753086,3.738461538,0.444444444,0.276923077,0.492307692,-2.041412811,-1.023845767,-1.592249044,-1.166685621,1.777427272,0.801409179,-0.322953014,-0.301287192,1.503018383
12,134,-0.263587281,Louis King,Note - waived by sac,SAC,PF,6,14.21388889,7.333333333,0.666666667,3,1.5,1.166666667,0.5,0.5,5.666666667,1,1,0.666666667,-1.477227934,-1.018971087,-1.152622281,-0.932844058,0.489255468,-0.343499984,0.177400941,0.580373975,1.305849433
12,135,-0.267633792,Josh Hart,,NOR,SG/SF,47,28.71205674,9.234042553,1.340425532,8.042553191,2.319148936,0.787234043,0.255319149,0.440233236,7.29787234,0.775280899,1.893617021,1.085106383,-1.162779028,-0.378521042,0.876880347,-0.571950742,-0.600013212,-0.816459144,-0.429247732,-0.159282206,0.83266863
12,136,-0.27012267,Dennis Schroder,Questionable - right ankle,LAL,PG,61,32.06967213,15.44262295,1.163934426,3.459016393,5.770491803,1.147540984,0.196721311,0.436842105,12.45901639,0.848360656,4,2.672131148,-0.135645949,-0.546286903,-0.967879564,0.948611047,0.434349785,-0.929726627,-0.812164829,0.539612769,-0.961973757
